,Role,Date,Seniority,Salary,Company
61,Web Programmer,2021-11-30,1,16000,הירולו
62,Web Programmer,2021-11-30,2,9000,איצ טי אר גי
63,C Programmer,2021-11-30,0,7000,אינטל
64,Sysadmin Windows,2021-11-30,4,12500,מחשבים תקשורת בינת
65,C# Programmer,2021-11-30,0,8233,"צה""ל"
66,Algorithms Developer,2021-11-29,4,25000,רפאל
67,Web Programmer,2021-11-29,0,18000,אמדוקס
68,Team Leader,2021-11-29,11,30000,אן.סי.אר
69,Database Administrator,2021-11-29,0,14000,הפועלים בנק
70,C# Programmer,2021-11-29,4,25000,ורוניס
71,.NET,2021-11-28,4,21000,וריפון
72,Web Programmer,2021-11-28,0,16000,מתודה
73,Software Engineer,2021-11-28,5,24000,מערכות אלביט
74,DevOps,2021-11-28,3,23000,טננגרופ
75,Cyber Security,2021-11-28,7,10000,"סוראסקי ע""ש הרפואי המרכז איכילוב"
76,Java Programmer,2021-11-28,0,17000,אמדוקס
77,Web Programmer,2021-11-28,10,24000,לאבס וואג'ר
78,Web Programmer,2021-11-28,0,5000,דעת
79,Web Programmer,2021-11-28,3,11000,סאפיאנס
80,C# Programmer,2021-11-28,1,15000,SQLink
81,.NET,2021-11-28,8,25000,לביטוח חברה הכשרה
82,Web Programmer,2021-11-28,0,9000,מערכות אלעד
83,Team Leader,2021-11-25,0,6500,דוד מגדל מוזיאון
84,Web Programmer,2021-11-25,1,10000,אטרקציה
85,Software Engineer,2021-11-25,8,33500,אינטל
86,Cyber Security,2021-11-25,1,6000,מטריקס
87,Software Student,2021-11-25,0,2000,בירושלים העברית האוניברסיטה
88,PHP,2021-11-25,2,13000,טריבייס
89,DevOps,2021-11-25,0,6000,בלוויין
90,Software Engineer,2021-11-25,3,30000,טי. אנד איי.טי.
91,Software Engineer,2021-11-25,11,24500,סינמידיה
92,Team Leader,2021-11-25,4,23000,מערכות אלביט
93,Software Engineer,2021-11-24,0,12000,צ'קפוינט
94,Team Leader,2021-11-24,10,11000,ישקר
95,Cyber Security,2021-11-24,6,20000,רפאל
96,Web Programmer,2021-11-24,3,20000,נטלייזר
97,Sysadmin Windows,2021-11-24,1,11000,נס
98,Python Programmer,2021-11-24,10,45000,ויאסאט
99,Web Programmer,2021-11-24,3,10000,"צה""ל"
100,Sysadmin Windows,2021-11-24,3,10000,סנטר מדיקל הרצליה
101,.NET,2021-11-23,0,10000,לאבס רדיס
102,Web Programmer,2021-11-23,0,13000,ביט מיסטר
103,Web Programmer,2021-11-23,0,26000,מערכות אלביט
104,Software Engineer,2021-11-23,11,40000,אוטודסק
105,C# Programmer,2021-11-23,11,30000,ביטוח כלל
106,Java Programmer,2021-11-23,3,20000,יו פי אי
107,Software Student,2021-11-23,0,8000,מערכות אלביט
108,DevOps,2021-11-23,0,6700,אינטל
109,C Programmer,2021-11-22,10,30000,בריפקהם
110,C Programmer,2021-11-22,10,23500,דוולור
111,C Programmer,2021-11-22,5,24000,אווירית תעשייה
112,Software Engineer,2021-11-22,11,27000,מטיריאלס אפלייד
113,C# Programmer,2021-11-22,4,30000,גוגל
114,Java Programmer,2021-11-22,7,34000,פינסטרה
115,Java Programmer,2021-11-22,7,26000,ורינט
116,DevOps,2021-11-22,4,16000,אוקטופוס
117,C# Programmer,2021-11-22,11,21000,פירסט פיוצרס
118,.NET,2021-11-22,4,19000,ישראל משטרת
119,Sysadmin Windows,2021-11-21,10,19500,בינלאומי בזק
120,Python Programmer,2021-11-21,3,24000,פורנובה
121,Java Programmer,2021-11-21,2,23000,ECI
122,Java Programmer,2021-11-21,0,9500,פרסונטיקס
123,Software Student,2021-11-21,0,12000,מיקרוסופט
124,Java Programmer,2021-11-21,0,13500,לייבפרסון
125,Software Engineer,2021-11-21,3,30000,אינטל
126,Software Engineer,2021-11-21,10,24000,מערכות אלביט
127,Software Engineer,2021-11-21,6,29000,פלטיין
128,Software Engineer,2021-11-21,0,6000,קלורן
129,Algorithms Developer,2021-11-21,6,12500,לישראל הגיאופיסי המכון
130,Web Programmer,2021-11-21,6,11000,מלם-תים
131,.NET,2021-11-21,2,17500,הבריאות משרד
132,Cyber Security,2021-11-21,2,15000,בינוי האוויר- חיל
133,Team Leader,2021-11-21,11,45000,נטוורקס סימנס נוקיה
134,Team Leader,2021-11-21,10,21000,ישקר
135,DevOps,2021-11-21,9,22222,HPE מרקורי
136,.NET,2021-11-21,1,15000,טורס אמסלם
137,Team Leader,2021-11-21,5,12000,מערכות ברימאג
138,DevOps,2021-11-21,4,30000,יבמ
139,Software Engineer,2021-11-21,1,20000,רפאל
140,C# Programmer,2021-11-21,1,20000,אמדוקס
141,C Programmer,2021-11-21,11,30000,מיקרוסמי
142,Sysadmin Windows,2021-11-21,4,12500,מחשבים תקשורת בינת
143,Sysadmin Windows,2021-11-21,6,15000,טי איי ג'י אס טי
144,Cyber Security,2021-11-21,0,13000,דיסקונט בנק
145,C Programmer,2021-11-18,11,33000,מערכות אלביט
146,Web Programmer,2021-11-18,0,5000,טריבייס
147,C# Programmer,2021-11-18,4,10000,רוקס איי
148,Software Engineer,2021-11-18,10,40000,אוטודסק
149,Software Engineer,2021-11-18,3,28000,מערכות אלביט
150,Web Programmer,2021-11-18,0,6500,אינטל
151,C# Programmer,2021-11-18,0,21000,צ'קפוינט
152,Algorithms Developer,2021-11-18,3,30000,מדטרוניק
153,C Programmer,2021-11-18,11,33000,קתוורקס
154,Java Programmer,2021-11-18,2,20000,ויוו טו קי
155,DevOps,2021-11-17,11,38000,טי. אנד איי.טי.
156,Algorithms Developer,2021-11-17,2,12000,ואיאר
157,Python Programmer,2021-11-17,1,32000,מיקרוסופט
158,Python Programmer,2021-11-17,4,27000,ויה
159,Python Programmer,2021-11-17,3,26000,אינפינידט
160,Software Student,2021-11-17,0,2700,ירושלים עיריית
161,Web Programmer,2021-11-17,0,7000,טלדור
162,Web Programmer,2021-11-17,1,20000,סורס איירון
163,DevOps,2021-11-17,4,22000,אנבידיה
164,DevOps,2021-11-17,3,30000,סייברארק
165,DevOps,2021-11-16,6,18000,אמדוקס
166,Team Leader,2021-11-16,3,32000,שאטרפלאי
167,Mobile Programmer,2021-11-16,8,40000,אוטודסק
168,.NET,2021-11-16,7,25000,זאפ קבוצת
169,Web Programmer,2021-11-16,0,12500,קודס לידר
170,Team Leader,2021-11-15,5,10800,אמרל
171,Software Engineer,2021-11-15,0,17000,הממשלה ראש משרד
172,Database Administrator,2021-11-15,1,17000,יילוהד
173,C# Programmer,2021-11-15,0,8000,סיסטמס מדיקל פיליפס
174,Cyber Security,2021-11-15,2,12000,החשמל חברת
175,DevOps,2021-11-15,3,14000,אינטל
176,DevOps,2021-11-15,0,18000,קיידנס
177,Web Programmer,2021-11-15,3,23000,Car2go
178,Web Programmer,2021-11-15,4,22000,סופטוב
179,Web Programmer,2021-11-15,4,25000,ביס תן
180,Web Programmer,2021-11-15,3,20000,אלגוסק
181,.NET,2021-11-15,5,8000,אימג'סטור
182,Java Programmer,2021-11-15,3,5500,איירוקס
183,C# Programmer,2021-11-15,0,6000,מנהל4יו
184,Software Student,2021-11-14,2,20000,אינטל
185,Web Programmer,2021-11-14,8,24000,מטריקס
186,Python Programmer,2021-11-14,0,7200,הביטחון משרד
187,Python Programmer,2021-11-14,3,25000,ואליו איי. סי.
188,Web Programmer,2021-11-14,6,18000,נס
189,Team Leader,2021-11-14,11,12000,דש. מיטב
190,Software Engineer,2021-11-14,0,12000,אנבידיה
191,Software Engineer,2021-11-14,4,27000,מטיריאלס אפלייד
192,Software Engineer,2021-11-14,0,19000,אווירית תעשייה
193,Mobile Programmer,2021-11-14,3,22000,קומפאי
194,DevOps,2021-11-14,5,30000,קלון די אמ
195,.NET,2021-11-14,1,10000,לאומי ביטוח
196,Linux,2021-11-14,0,10000,סודהסטרים
197,DevOps,2021-11-14,1,12000,אינטל
198,DevOps,2021-11-14,4,25000,יבמ
199,Cyber Security,2021-11-11,4,6000,מטריקס
200,PHP,2021-11-11,0,8000,סמארטי
201,Software Engineer,2021-11-11,2,6500,ורפיקיישן ריצ'יפ
202,Software Engineer,2021-11-11,4,24000,אינטנגו
203,C# Programmer,2021-11-11,10,15000,מטריקס
204,C# Programmer,2021-11-11,4,7500,פלייסייט
205,Software Engineer,2021-11-10,11,27000,אינדיגו HP
206,C# Programmer,2021-11-10,2,12400,אינטל
207,DevOps,2021-11-10,1,10000,מטריקס
208,DevOps,2021-11-10,8,31200,גוגל
209,Team Leader,2021-11-10,7,8500,די.אייץ.אל
210,Java Programmer,2021-11-10,3,25000,מובייל דודא
211,Team Leader,2021-11-10,11,12000,מגדל
212,Java Programmer,2021-11-10,0,17000,ליבריס אקס
213,Cyber Security,2021-11-07,6,18000,גרופ אינטליגו
214,Cyber Security,2021-11-07,0,12000,מטריקס
215,Web Programmer,2021-11-07,0,18000,Wix
216,.NET,2021-11-07,5,10000,פנמסופט
217,Java Programmer,2021-11-07,0,6200,טריבייס
218,Team Leader,2021-11-07,2,25000,פרטנר
219,C# Programmer,2021-11-07,0,14000,בי.אם.סי
220,.NET,2021-11-05,5,12500,גלובל מטריקס
221,Cyber Security,2021-11-05,0,17000,מערכות אלביט
222,DevOps,2021-11-05,1,27000,אלגוטק
223,Database Administrator,2021-11-05,0,9000,dbMotion
224,Java Programmer,2021-11-04,11,22000,בוטומליין
225,Cyber Security,2021-11-04,0,6000,מערכות גב
226,Cyber Security,2021-11-04,0,14000,סייברארק
227,Java Programmer,2021-11-04,0,8000,VMware
228,C# Programmer,2021-11-04,2,15000,פרוסיד
229,Software Student,2021-11-04,0,8000,ג'נסיס
230,DevOps,2021-11-04,1,13000,סנטינלוואן
231,Software Engineer,2021-11-04,2,25000,אנבידיה
232,Software Engineer,2021-11-04,2,19000,רפאל
233,Team Leader,2021-11-04,4,12000,סטרטסיס
234,Sysadmin Windows,2021-11-04,5,8500,מטריקס
235,Mobile Programmer,2021-11-03,5,24500,אפליקאסטר
236,Software Student,2021-11-03,0,7000,מערכות אלביט
237,Software Engineer,2021-11-03,4,30000,אפספלייר
238,Software Student,2021-11-03,5,28000,אמזון
239,.NET,2021-11-03,7,8500,טכנולוגיות סי אקס די
240,Web Programmer,2021-11-03,3,25000,זומינפו
241,Algorithms Developer,2021-11-02,1,10000,אינטגרציה סינרג'י
242,Java Programmer,2021-11-02,0,16000,אמדוקס
243,Software Engineer,2021-11-02,10,15000,קומטאץ
244,Team Leader,2021-11-02,4,40000,רדוור
245,Web Programmer,2021-11-02,6,8300,גלובל מטריקס
246,Linux,2021-11-02,4,35000,אנבידיה
247,C# Programmer,2021-11-02,2,20000,מוטורולה
248,Software Student,2021-11-01,0,10000,האט רד
249,Mobile Programmer,2021-10-31,0,12000,סופט אנג'י
250,C Programmer,2021-10-31,0,14000,קייפ
251,Algorithms Developer,2021-10-31,3,30000,ראיה טכנולוגיות מובילאיי
252,Team Leader,2021-10-31,3,9500,"צה""ל"
253,Algorithms Developer,2021-10-31,0,19000,אווירית תעשייה
254,Linux,2021-10-31,1,20000,טרקונומיקס
255,C# Programmer,2021-10-31,2,27000,פלוס אופטימל
256,C# Programmer,2021-10-31,11,22000,מערכות אלביט
257,C# Programmer,2021-10-31,8,13000,גלובל מטריקס
258,Cyber Security,2021-10-31,1,20000,מטריקס
259,Java Programmer,2021-10-31,2,20000,אלספק
260,Java Programmer,2021-10-31,11,30000,מיקרופוקוס
261,Software Engineer,2021-10-31,8,21000,טכניון
262,Software Engineer,2021-10-31,10,28000,אינטל
263,Software Engineer,2021-10-31,10,24000,וריפון
264,Web Programmer,2021-10-31,3,17500,לינק בי.איי
265,Cyber Security,2021-10-28,3,11000,פרטנר
266,Algorithms Developer,2021-10-28,7,28000,מאך סטארהום
267,.NET,2021-10-28,5,15000,ישראל אורט
268,DevOps,2021-10-28,0,13000,נס
269,Cyber Security,2021-10-28,5,21000,ישראל אבנט
270,C Programmer,2021-10-28,10,30000,מערכות אלביט
271,Web Programmer,2021-10-27,0,10000,קמביום
272,.NET,2021-10-27,0,6000,אימג'סטור
273,Mobile Programmer,2021-10-27,4,10000,מובייל אפגייט
274,DevOps,2021-10-27,0,10000,"צה""ל"
275,Software Engineer,2021-10-27,0,15000,ישקר
276,C# Programmer,2021-10-27,4,26000,ווטרפול
277,.NET,2021-10-26,4,16000,bci
278,Python Programmer,2021-10-26,11,30000,מטיריאלס אפלייד
279,Cyber Security,2021-10-26,5,10000,אינטל
280,Software Engineer,2021-10-26,8,24000,שחם אלטשולר
281,DevOps,2021-10-26,6,25000,צ'קמרקס
282,Software Engineer,2021-10-26,3,25000,סיסטמס מדיקל פיליפס
283,C# Programmer,2021-10-26,2,16000,אמדוקס
284,C# Programmer,2021-10-25,0,13000,מערכות זיו
285,C Programmer,2021-10-25,6,25000,אינדיגו HP
286,Java Programmer,2021-10-25,2,15000,קנשו
287,Software Engineer,2021-10-25,4,20000,סיסאייד
288,Software Engineer,2021-10-25,3,25000,אדג' סולאר
289,Database Administrator,2021-10-25,2,1871,"צה""ל"
290,C# Programmer,2021-10-25,5,24000,אווירית תעשייה
291,Database Administrator,2021-10-25,7,35000,אורקה
292,Cyber Security,2021-10-25,3,19000,דיסקונט בנק
293,Software Engineer,2021-10-25,4,23000,ורינט
294,Sysadmin Windows,2021-10-25,5,17500,הוט
295,C Programmer,2021-10-25,0,20000,צ'קפוינט
296,Java Programmer,2021-10-25,3,17000,ECI
297,Software Engineer,2021-10-25,11,33000,אוטודסק
298,Software Engineer,2021-10-25,2,15000,איינמאנג'
299,.NET,2021-10-25,0,6000,מערכות אלעד
300,DevOps,2021-10-25,3,8000,"צה""ל"
301,DevOps,2021-10-25,5,36000,מטריקס
302,Algorithms Developer,2021-10-25,11,20000,אי.ג'י סופטוור
303,DevOps,2021-10-25,1,16000,צ'קפוינט
304,Software Engineer,2021-10-25,1,17000,אמדוקס
305,Mobile Programmer,2021-10-25,1,5000,IBMC
306,Web Programmer,2021-10-25,1,16000,אינפינידט
307,Linux,2021-10-25,3,14000,איי אס אר
308,Software Engineer,2021-10-25,5,16000,רפאל
309,DevOps,2021-10-21,1,20000,מחשבים תקשורת בינת
310,Database Administrator,2021-10-21,4,22222,HPE מרקורי
311,Web Programmer,2021-10-21,0,13000,הירולו
312,DevOps,2021-10-21,0,18300,מחשבים תקשורת בינת
313,C# Programmer,2021-10-21,0,5300,מלם-תים
314,Linux,2021-10-21,4,24000,צ'קפוינט
315,Software Engineer,2021-10-20,4,27000,סורס וויט
316,Cyber Security,2021-10-20,3,21400,מלם-תים
317,.NET,2021-10-20,5,15000,קומקס
318,Team Leader,2021-10-20,10,31000,רפאל
319,C Programmer,2021-10-20,1,21000,צ'קפוינט
320,Web Programmer,2021-10-20,1,11000,פרטנר
321,Database Administrator,2021-10-20,10,22000,סלקום
322,Java Programmer,2021-10-20,0,17000,קנשו
323,Java Programmer,2021-10-20,4,19000,אלפיזור
324,Web Programmer,2021-10-20,2,9000,איצ טי אר גי
325,Team Leader,2021-10-20,2,9700,"צה""ל"
326,Sysadmin Windows,2021-10-20,2,8000,בירושלים העברית האוניברסיטה
327,Java Programmer,2021-10-20,4,16000,בי.אם.סי
328,C Programmer,2021-10-20,0,5000,גלובל מטריקס
329,Web Programmer,2021-10-18,4,32000,Wix
330,Web Programmer,2021-10-18,0,12000,עדיקה
331,C# Programmer,2021-10-18,7,28000,אווירית תעשייה
332,Python Programmer,2021-10-18,1,16500,גוגל
333,.NET,2021-10-18,11,17000,רד
334,Software Engineer,2021-10-18,0,12000,סופט אנג'י
335,Team Leader,2021-10-18,11,28000,רפאל
336,Mobile Programmer,2021-10-17,3,28000,סייולו
337,Software Student,2021-10-17,0,5000,מערכות אלתא
338,Linux,2021-10-17,0,18000,צ'קפוינט
339,Software Student,2021-10-17,0,7200,אינטל
340,.NET,2021-10-17,2,16000,טכנולוגיות אוורסט
341,Software Student,2021-10-17,0,6000,מחשבים אמן
342,Team Leader,2021-10-17,5,29000,אמדוקס
343,C# Programmer,2021-10-17,2,15000,אופקים קבוצת
344,Software Engineer,2021-10-17,0,20000,סייברארק
345,C# Programmer,2021-10-17,0,4000,איירוקס
346,Algorithms Developer,2021-10-17,10,30000,Trustwave
347,Algorithms Developer,2021-10-17,11,35000,סיווה
348,Software Engineer,2021-10-17,5,25000,סיסטמס מדיקל פיליפס
349,Software Engineer,2021-10-17,3,24000,איביי
350,Mobile Programmer,2021-10-17,0,23400,אדג' סולאר
351,Python Programmer,2021-10-14,0,20000,צ'קפוינט
352,DevOps,2021-10-14,1,25000,אמדוקס
353,Team Leader,2021-10-14,6,37000,סייבר ארגוס
354,Java Programmer,2021-10-14,1,13000,Wix
355,Web Programmer,2021-10-14,6,25000,Lnet
356,Algorithms Developer,2021-10-14,1,26000,שאטרפלאי
357,Algorithms Developer,2021-10-14,10,31000,אף קיי אס
358,Mobile Programmer,2021-10-14,4,34000,סייולו
359,C# Programmer,2021-10-14,7,15000,מטריקס
360,Web Programmer,2021-10-14,0,6000,לינק בי.איי
361,Team Leader,2021-10-14,11,45000,טי. אנד איי.טי.
362,.NET,2021-10-13,10,28000,"בע""מ ומערכות תוכנה יעל"
363,Software Engineer,2021-10-13,8,27000,ורינט
364,Java Programmer,2021-10-13,11,33000,קונטגארד
365,Mobile Programmer,2021-10-13,3,10000,אמדוקס
366,Java Programmer,2021-10-13,10,30000,מאך סטארהום
367,Software Student,2021-10-13,0,4000,מערכות אלביט
368,Software Engineer,2021-10-13,0,11500,אנרטק
369,C# Programmer,2021-10-13,0,9000,סלע
370,C# Programmer,2021-10-13,1,25000,פלייטיקה
371,C# Programmer,2021-10-11,0,13000,צ'קפוינט
372,Java Programmer,2021-10-11,2,25000,בי.אם.סי
373,Java Programmer,2021-10-11,0,5400,איירוקס
374,C Programmer,2021-10-11,3,7500,ופיננסים פנסיה ביטוח קשר
375,Database Administrator,2021-10-11,0,10000,מיין דטה
376,Web Programmer,2021-10-11,0,9000,קום עזריאלי
377,Algorithms Developer,2021-10-11,5,16000,סאפיאנס
378,Software Engineer,2021-10-11,7,39800,מיקרוסופט
379,Software Engineer,2021-10-11,1,18000,אמדוקס
380,Sysadmin Windows,2021-10-11,1,9000,מ.ג.ע.ר
381,Python Programmer,2021-10-10,3,26000,אנבידיה
382,Python Programmer,2021-10-10,3,2500,ואליו איי. סי.
383,Software Engineer,2021-10-10,0,19000,סינמידיה
384,Software Engineer,2021-10-10,10,52000,אמזון
385,Software Engineer,2021-10-10,2,32000,מיקרוסופט
386,Software Engineer,2021-10-10,11,60000,אמזון
387,Software Engineer,2021-10-10,3,25000,מיקרוסופט
388,DevOps,2021-10-10,2,23000,מיקרוסופט
389,Software Student,2021-10-10,0,7000,אינטל
390,Python Programmer,2021-10-10,4,25000,קמינריו
391,Team Leader,2021-10-10,5,12000,"צה""ל"
392,DevOps,2021-10-10,3,23000,מטריקס
393,Java Programmer,2021-10-10,6,21000,אמדוקס
394,Cyber Security,2021-10-10,5,30000,קארד לאומי
395,Web Programmer,2021-10-10,0,10000,קונימבו
396,Web Programmer,2021-10-10,8,18500,הבריאות משרד
397,Database Administrator,2021-10-10,11,25000,אמדוקס
398,C# Programmer,2021-10-10,0,5200,מטריקס
399,Java Programmer,2021-10-10,0,10000,אמדוקס
400,C# Programmer,2021-10-10,4,10000,רפואית הנדסה כללית
401,Team Leader,2021-10-10,5,28000,מערכות אלביט
402,Web Programmer,2021-10-06,2,21500,בריינלב
403,Mobile Programmer,2021-10-06,4,25000,מבניר
404,Algorithms Developer,2021-10-06,1,28000,קורפוטוניקס
405,Web Programmer,2021-10-06,5,15000,Bit MS
406,Software Student,2021-10-06,0,4000,רפאל
407,Java Programmer,2021-10-06,6,25500,ישיר ביטוח
408,Java Programmer,2021-10-06,3,29000,מורגן פי ג'י
409,Software Engineer,2021-10-06,5,23000,מערכות אלביט
410,Software Engineer,2021-10-06,5,30000,אינטל
411,Web Programmer,2021-10-05,0,6000,איירוקס
412,Web Programmer,2021-10-05,1,5400,מטריקס
413,Java Programmer,2021-10-05,0,5500,איירוקס
414,Software Student,2021-10-05,0,5000,אודיוקודס
415,Team Leader,2021-10-05,3,29500,צ'קפוינט
416,C Programmer,2021-10-05,11,24000,דוולור
417,C Programmer,2021-10-05,0,13000,נישה
418,C Programmer,2021-10-05,5,25000,מארוול
419,Team Leader,2021-10-05,10,24000,טכנולוגיות סי אקס די
420,Team Leader,2021-10-05,5,17000,בינלאומי בזק
421,Web Programmer,2021-10-05,4,24000,טאבולה
422,Software Engineer,2021-10-05,7,8500,אמזון
423,Software Engineer,2021-10-05,1,6000,טלקום דויטשה
424,Linux,2021-10-05,1,5000,האט רד
425,Software Engineer,2021-10-05,5,24000,רדקום
426,Web Programmer,2021-10-03,0,18000,טי אנד אל
427,.NET,2021-10-03,6,25000,דיימנשנס קליק
428,.NET,2021-10-03,4,26000,ורוניס
429,Web Programmer,2021-10-03,7,23000,טראקס
430,Java Programmer,2021-10-03,8,28000,HPE מרקורי
431,Python Programmer,2021-10-03,1,16000,אמדוקס
432,Software Engineer,2021-10-02,2,25000,ECI
433,Software Engineer,2021-10-02,1,27000,מיקרוסופט
434,C# Programmer,2021-10-02,8,25000,רפפורט
435,C# Programmer,2021-10-02,10,25000,מאסטררו בי די
436,Web Programmer,2021-10-02,2,25000,מיקרוסופט
437,Python Programmer,2021-10-02,1,19000,דיגיטל ווסטרן
438,Software Engineer,2021-10-02,5,36000,HPE מרקורי
439,.NET,2021-10-02,0,16400,סיינט
440,Java Programmer,2021-10-02,5,22000,סאפ
441,Java Programmer,2021-10-02,5,27000,הפועלים בנק
442,Java Programmer,2021-10-01,0,21000,מיקרוסופט
443,DevOps,2021-10-01,0,10000,אסטיאה
444,Mobile Programmer,2021-10-01,3,22000,פייבוקס
445,Web Programmer,2021-10-01,2,13200,המיסים רשות
446,Web Programmer,2021-10-01,6,21000,נס
447,Python Programmer,2021-10-01,4,25000,אנבידיה
448,Software Student,2021-10-01,0,5800,אינטל
449,Java Programmer,2021-10-01,10,30000,PSL
450,C# Programmer,2021-10-01,1,10000,גוגל
451,DevOps,2021-10-01,6,26000,הפועלים בנק
452,Sysadmin Windows,2021-10-01,3,9000,SQLink
453,Java Programmer,2021-10-01,3,20000,Airspan
454,.NET,2021-10-01,0,8500,גרופ טופ
455,DevOps,2021-09-30,0,10000,IBMC
456,Sysadmin Windows,2021-09-30,0,6500,מלם-תים
457,Java Programmer,2021-09-30,2,20000,אינקרדימייל
458,Software Student,2021-09-30,0,6000,טורנדו מובייל
459,Software Student,2021-09-30,3,3500,ברזילי חולים בית
460,Software Engineer,2021-09-29,4,30000,אינטל
461,Software Engineer,2021-09-29,5,18300,אמדוקס
462,C# Programmer,2021-09-29,3,17000,מטריקס
463,Web Programmer,2021-09-29,3,22000,פרטנר
464,Java Programmer,2021-09-27,1,14500,ספיאנס
465,Java Programmer,2021-09-27,0,17000,הפועלים בנק
466,C# Programmer,2021-09-27,5,25000,TandemG
467,Web Programmer,2021-09-27,4,30000,Wix
468,Algorithms Developer,2021-09-27,0,20000,אמדוקס
469,C Programmer,2021-09-27,10,26000,סופטוויר בי פור אל
470,Python Programmer,2021-09-27,0,20000,מיקרוסופט
471,Cyber Security,2021-09-27,2,12000,גוגל
472,C Programmer,2021-09-26,0,19000,צ'קפוינט
473,Python Programmer,2021-09-26,0,13500,דיגיטל ווסטרן
474,C# Programmer,2021-09-26,1,34000,מיקרוסופט
475,Software Student,2021-09-26,0,10000,מערכות אלביט
476,C Programmer,2021-09-26,5,28000,אלקטריק ג'נרל
477,Mobile Programmer,2021-09-26,1,10000,טי איי סנס
478,Python Programmer,2021-09-26,1,28000,מוטורס ג'נרל
479,DevOps,2021-09-26,0,12000,אוקטופוס
480,DevOps,2021-09-26,10,25000,אולקלאוד
481,DevOps,2021-09-26,4,43000,אנבידיה
482,Web Programmer,2021-09-26,2,6000,הביטחון משרד
483,Team Leader,2021-09-26,2,24000,ליבריס אקס
484,C# Programmer,2021-09-26,3,30000,ישיר חשמל
485,C# Programmer,2021-09-26,2,21500,פרטנר
486,Cyber Security,2021-09-23,0,8000,בזק
487,Web Programmer,2021-09-23,2,19000,סימנס
488,Python Programmer,2021-09-23,3,45000,ויה
489,Python Programmer,2021-09-23,1,19000,זומינפו
