,Role,Date,Seniority,Salary,Company
56,Cyber Security,2021-12-22,11,40000,IT לוגיקה
57,Software Engineer,2021-12-22,0,11000,קמביום
58,Software Engineer,2021-12-21,10,22000,קומברס
59,Software Student,2021-12-21,0,11000,מיקרוסופט
60,Software Engineer,2021-12-21,8,40000,רפאל
61,DevOps,2021-12-21,5,30000,מערכות אלביט
62,Algorithms Developer,2021-12-21,3,25000,ארליסנס
63,Software Engineer,2021-12-21,5,20000,מערכות אלביט
64,DevOps,2021-12-21,1,20000,נס
65,Web Programmer,2021-12-21,0,5400,פרוגיקס
66,Software Engineer,2021-12-21,6,30000,ישראל סמיקונדקטור סוני
67,Mobile Programmer,2021-12-20,3,23000,אמדוקס
68,Sysadmin Windows,2021-12-20,1,8000,אמתוס
69,Web Programmer,2021-12-20,3,18000,פרטנר
70,C# Programmer,2021-12-20,4,20000,אינטל
71,C Programmer,2021-12-20,0,8000,מערכות אלביט
72,Java Programmer,2021-12-20,0,15000,פינסטרה
73,Sysadmin Windows,2021-12-20,0,8000,אמתוס
74,Cyber Security,2021-12-20,1,15000,באגסק
75,C# Programmer,2021-12-20,8,20000,טרילוג'יקל
76,Web Programmer,2021-12-19,1,10000,טלדור
77,Web Programmer,2021-12-19,5,15000,וואן1
78,Cyber Security,2021-12-19,5,11000,רפאל
79,PHP,2021-12-19,4,13000,אפ אופן
80,Team Leader,2021-12-19,11,21000,מטריקס
81,Web Programmer,2021-12-19,0,7000,צ'קפוינט
82,Web Programmer,2021-12-19,11,27000,קומפאי
83,DevOps,2021-12-19,8,28000,ויאסאט
84,Software Student,2021-12-19,0,6000,מיקרוסופט
85,Web Programmer,2021-12-19,4,15000,מחשבים אמן
86,Web Programmer,2021-12-16,1,22000,ליבריס אקס
87,C# Programmer,2021-12-16,3,21000,טרונובייט
88,Web Programmer,2021-12-16,3,32000,אפ נט
89,Web Programmer,2021-12-16,2,8000,תקשורת פתרונות המשיח ימות
90,C Programmer,2021-12-16,4,21000,הממשלה ראש משרד
91,Software Engineer,2021-12-16,5,28000,מיקרוסופט
92,Algorithms Developer,2021-12-16,2,20000,ג'יפרוג
93,Software Engineer,2021-12-16,11,35000,טריגו
94,Team Leader,2021-12-16,10,45000,קורפוטוניקס
95,C Programmer,2021-12-16,4,18000,רד
96,C Programmer,2021-12-15,3,20000,אמדוקס
97,Algorithms Developer,2021-12-15,11,62000,אינטל
98,C# Programmer,2021-12-15,0,12000,אינטל
99,Web Programmer,2021-12-15,5,15000,אואזיס קוד
100,Algorithms Developer,2021-12-15,6,29000,חילן-טק
101,Algorithms Developer,2021-12-15,0,12000,מטריקס
102,C Programmer,2021-12-15,0,21000,קואלקום
103,Cyber Security,2021-12-14,8,6100,כאל ויזה
104,C# Programmer,2021-12-14,8,28000,מידע אבטחת ניוטרון
105,Team Leader,2021-12-14,11,35000,אי גלובל
106,Web Programmer,2021-12-14,3,20000,מערכות אלביט
107,C Programmer,2021-12-13,4,18000,בי.אם.סי
108,Web Programmer,2021-12-13,9,19000,ישראל משטרת
109,Software Engineer,2021-12-13,1,22000,מערכות אלביט
110,Web Programmer,2021-12-13,1,7000,איצ טי אר גי
111,Web Programmer,2021-12-13,1,10000,אלמונדנט
112,Cyber Security,2021-12-13,8,30000,אימפרבה
113,.NET,2021-12-13,5,17000,GTH
114,.NET,2021-12-13,7,20000,שכר מלם
115,Team Leader,2021-12-13,0,10000,ביס תן
116,Team Leader,2021-12-13,0,13000,התעופה שדות רשות
117,Software Engineer,2021-12-13,11,17500,חדרה נייר קבוצת
118,Java Programmer,2021-12-12,0,18000,פידילס
119,Team Leader,2021-12-12,5,12000,סלקום
120,Software Student,2021-12-12,0,10000,מיקרוסופט
121,Software Engineer,2021-12-12,2,21000,אנבידיה
122,Software Engineer,2021-12-12,3,20000,ברן
123,Team Leader,2021-12-12,0,7000,מלם-תים
124,C Programmer,2021-12-12,11,23000,רפאל
125,Software Engineer,2021-12-12,0,25000,אינטל
126,Python Programmer,2021-12-12,6,25000,מחשבים אמן
127,C# Programmer,2021-12-12,6,12000,כאל ויזה
128,C Programmer,2021-12-12,0,7000,טכנולוגיות סי אקס די
129,Mobile Programmer,2021-12-12,2,13000,מלם-תים
130,Algorithms Developer,2021-12-12,1,10000,מלם-תים
131,C# Programmer,2021-12-12,0,7500,מלם-תים
132,Web Programmer,2021-12-12,0,8000,אנטריפוינט
133,Web Programmer,2021-12-12,1,14000,סופטוור זומין
134,C Programmer,2021-12-12,3,19000,מערכות אלביט
135,C Programmer,2021-12-10,1,20000,אמדוקס
136,Python Programmer,2021-12-10,3,7700,"צה""ל"
137,Cyber Security,2021-12-10,10,25000,מטריקס
138,Web Programmer,2021-12-10,0,10000,קודס לידר
139,Team Leader,2021-12-10,11,14000,דיאגנוסטיקה גאמידור
140,C# Programmer,2021-12-10,1,17000,אקטיב מון
141,Web Programmer,2021-12-10,1,9000,קודס לידר
142,Software Student,2021-12-10,0,2375,Wix
143,Software Engineer,2021-12-09,1,8000,יובינט
144,Software Engineer,2021-12-09,11,30000,פיקסלוט
145,Web Programmer,2021-12-09,3,25000,טרדאר
146,C Programmer,2021-12-09,1,18000,צ'קפוינט
147,Team Leader,2021-12-09,6,32000,יבמ
148,Web Programmer,2021-12-09,2,25000,קוגנייט
149,C Programmer,2021-12-09,0,10000,סאפיאנס
150,Web Programmer,2021-12-09,0,12000,קפיטל מקור
151,Software Student,2021-12-07,0,10000,אימפרבה
152,.NET,2021-12-07,10,40000,פאגאיה
153,C Programmer,2021-12-07,9,25000,ריטליקס
154,Software Student,2021-12-07,0,5000,אינטל
155,Team Leader,2021-12-07,3,8000,טורנדו
156,Mobile Programmer,2021-12-07,5,22000,שאטרפלאי
157,.NET,2021-12-07,11,20500,מלם-תים
158,.NET,2021-12-07,4,19000,סמייל כללית
159,Algorithms Developer,2021-12-07,3,32000,פייברנט
160,C Programmer,2021-12-07,1,21000,דיגיטל ווסטרן
161,Software Engineer,2021-12-07,0,23000,הרמוניק
162,Algorithms Developer,2021-12-07,2,25000,ג'אנגו
163,Software Engineer,2021-12-07,0,20000,888
164,Software Engineer,2021-12-07,0,5000,אינטל
165,C# Programmer,2021-12-07,0,11000,מערכות אלתא
166,Java Programmer,2021-12-07,3,17000,צ'קפוינט
167,Java Programmer,2021-12-07,3,26000,אפל
168,Software Student,2021-12-05,0,12000,מלאנוקס
169,C# Programmer,2021-12-05,5,20000,צ'קפוינט
170,Web Programmer,2021-12-05,11,20500,SQLink
171,Java Programmer,2021-12-05,4,17000,אלפיזור
172,Software Engineer,2021-12-04,0,18000,סופט אנג'י
173,DevOps,2021-12-04,3,26000,פרטנר
174,Team Leader,2021-12-04,11,38000,מיקרופוקוס
175,C Programmer,2021-12-04,0,5000,מטריקס
176,Software Student,2021-12-04,0,9000,Communications Allot
177,C# Programmer,2021-12-04,2,12000,בינלאומי בזק
178,Algorithms Developer,2021-12-04,0,25000,אקסצ'יינג' אינטרקונטיננטל
179,Mobile Programmer,2021-12-04,2,15000,קומפאי
180,Web Programmer,2021-12-04,1,6500,גרופ טופ
181,DevOps,2021-12-01,3,27000,פיקסאונאיי
182,Web Programmer,2021-12-01,0,7000,איצ טי אר גי
183,.NET,2021-12-01,8,25000,רפאל
184,Web Programmer,2021-12-01,3,19000,וייזר
185,Python Programmer,2021-12-01,0,19000,צ'קפוינט
186,C Programmer,2021-12-01,3,19000,אבנת
187,Team Leader,2021-12-01,0,7500,"וקד''מ מטרות-שיווק,גיוס"
188,Algorithms Developer,2021-12-01,7,30000,אווירית תעשייה
189,C# Programmer,2021-11-30,0,8233,"צה""ל"
190,Web Programmer,2021-11-30,2,9000,איצ טי אר גי
191,Web Programmer,2021-11-30,0,13000,תיקתוק
192,Web Programmer,2021-11-30,1,16000,הירולו
193,Sysadmin Windows,2021-11-30,4,12500,מחשבים תקשורת בינת
194,C# Programmer,2021-11-29,4,25000,ורוניס
195,Database Administrator,2021-11-29,0,14000,הפועלים בנק
196,Team Leader,2021-11-29,11,30000,אן.סי.אר
197,Algorithms Developer,2021-11-29,4,25000,רפאל
198,Web Programmer,2021-11-28,0,16000,מתודה
199,Cyber Security,2021-11-28,7,10000,"סוראסקי ע""ש הרפואי המרכז איכילוב"
200,Web Programmer,2021-11-28,10,24000,לאבס וואג'ר
201,Web Programmer,2021-11-28,0,9000,מערכות אלעד
202,Java Programmer,2021-11-28,0,17000,אמדוקס
203,Web Programmer,2021-11-28,0,5000,דעת
204,DevOps,2021-11-28,3,23000,טננגרופ
205,Software Engineer,2021-11-28,5,24000,מערכות אלביט
206,Web Programmer,2021-11-28,3,11000,סאפיאנס
207,.NET,2021-11-28,8,25000,לביטוח חברה הכשרה
208,.NET,2021-11-28,4,21000,וריפון
209,Software Student,2021-11-25,0,2000,בירושלים העברית האוניברסיטה
210,Cyber Security,2021-11-25,1,6000,מטריקס
211,Software Engineer,2021-11-25,8,33500,אינטל
212,Team Leader,2021-11-25,4,23000,מערכות אלביט
213,Software Engineer,2021-11-25,11,24500,סינמידיה
214,PHP,2021-11-25,2,13000,טריבייס
215,DevOps,2021-11-25,0,6000,בלוויין
216,Team Leader,2021-11-25,0,6500,דוד מגדל מוזיאון
217,Web Programmer,2021-11-25,1,10000,אטרקציה
218,Sysadmin Windows,2021-11-24,1,11000,נס
219,Web Programmer,2021-11-24,3,20000,נטלייזר
220,Cyber Security,2021-11-24,6,20000,רפאל
221,Team Leader,2021-11-24,10,11000,ישקר
222,Web Programmer,2021-11-24,3,10000,"צה""ל"
223,Sysadmin Windows,2021-11-24,3,10000,סנטר מדיקל הרצליה
224,Python Programmer,2021-11-24,10,45000,ויאסאט
225,Software Engineer,2021-11-24,0,12000,צ'קפוינט
226,Web Programmer,2021-11-23,0,13000,ביט מיסטר
227,Web Programmer,2021-11-23,0,26000,מערכות אלביט
228,.NET,2021-11-23,0,10000,לאבס רדיס
229,Java Programmer,2021-11-23,3,20000,יו פי אי
230,Software Engineer,2021-11-23,11,40000,אוטודסק
231,C# Programmer,2021-11-23,11,30000,ביטוח כלל
232,DevOps,2021-11-23,0,6700,אינטל
233,DevOps,2021-11-22,4,16000,אוקטופוס
234,.NET,2021-11-22,4,19000,ישראל משטרת
235,C Programmer,2021-11-22,5,24000,אווירית תעשייה
236,Software Engineer,2021-11-22,11,27000,מטיריאלס אפלייד
237,C# Programmer,2021-11-22,11,21000,פירסט פיוצרס
238,Java Programmer,2021-11-22,7,26000,ורינט
239,C Programmer,2021-11-22,10,30000,בריפקהם
240,C Programmer,2021-11-22,10,23500,דוולור
241,Java Programmer,2021-11-22,7,34000,פינסטרה
242,DevOps,2021-11-21,9,22222,HPE מרקורי
243,Software Engineer,2021-11-21,10,24000,מערכות אלביט
244,Java Programmer,2021-11-21,0,13500,לייבפרסון
245,Python Programmer,2021-11-21,3,24000,פורנובה
246,.NET,2021-11-21,2,17500,הבריאות משרד
247,Software Engineer,2021-11-21,0,6000,קלורן
248,C Programmer,2021-11-21,11,30000,מיקרוסמי
249,Sysadmin Windows,2021-11-21,10,19500,בינלאומי בזק
250,Sysadmin Windows,2021-11-21,4,12500,מחשבים תקשורת בינת
251,Cyber Security,2021-11-21,2,15000,בינוי האוויר- חיל
252,Team Leader,2021-11-21,11,45000,נטוורקס סימנס נוקיה
253,.NET,2021-11-21,1,15000,טורס אמסלם
254,C# Programmer,2021-11-21,1,20000,אמדוקס
255,Algorithms Developer,2021-11-21,6,12500,לישראל הגיאופיסי המכון
256,Web Programmer,2021-11-21,6,11000,מלם-תים
257,Team Leader,2021-11-21,5,12000,מערכות ברימאג
258,Sysadmin Windows,2021-11-21,6,15000,טי איי ג'י אס טי
259,Cyber Security,2021-11-21,0,13000,דיסקונט בנק
260,Software Engineer,2021-11-21,6,29000,פלטיין
261,Java Programmer,2021-11-21,2,23000,ECI
262,Team Leader,2021-11-21,10,21000,ישקר
263,Java Programmer,2021-11-21,0,9500,פרסונטיקס
264,Software Engineer,2021-11-18,10,40000,אוטודסק
265,Java Programmer,2021-11-18,2,20000,ויוו טו קי
266,Web Programmer,2021-11-18,0,5000,טריבייס
267,C# Programmer,2021-11-18,0,21000,צ'קפוינט
268,C Programmer,2021-11-18,11,33000,קתוורקס
269,Algorithms Developer,2021-11-18,3,30000,מדטרוניק
270,C Programmer,2021-11-18,11,33000,מערכות אלביט
271,C# Programmer,2021-11-18,4,10000,רוקס איי
272,Algorithms Developer,2021-11-17,2,12000,ואיאר
273,Python Programmer,2021-11-17,4,27000,ויה
274,DevOps,2021-11-17,4,22000,אנבידיה
275,Software Student,2021-11-17,0,2700,ירושלים עיריית
276,DevOps,2021-11-17,3,30000,סייברארק
277,Python Programmer,2021-11-17,1,32000,מיקרוסופט
278,Python Programmer,2021-11-17,3,26000,אינפינידט
279,DevOps,2021-11-17,11,38000,טי. אנד איי.טי.
280,Mobile Programmer,2021-11-16,8,40000,אוטודסק
281,DevOps,2021-11-16,6,18000,אמדוקס
282,Team Leader,2021-11-16,3,32000,שאטרפלאי
283,.NET,2021-11-16,7,25000,זאפ קבוצת
284,.NET,2021-11-15,5,8000,אימג'סטור
285,Web Programmer,2021-11-15,3,20000,אלגוסק
286,Database Administrator,2021-11-15,1,17000,יילוהד
287,Web Programmer,2021-11-15,3,23000,Car2go
288,Team Leader,2021-11-15,5,10800,אמרל
289,Web Programmer,2021-11-15,4,22000,סופטוב
290,Web Programmer,2021-11-15,4,25000,ביס תן
291,DevOps,2021-11-15,3,14000,אינטל
292,C# Programmer,2021-11-15,0,6000,מנהל4יו
293,Cyber Security,2021-11-15,2,12000,החשמל חברת
294,Java Programmer,2021-11-15,3,5500,איירוקס
295,Software Engineer,2021-11-15,0,17000,הממשלה ראש משרד
296,DevOps,2021-11-15,0,18000,קיידנס
297,Mobile Programmer,2021-11-14,3,22000,קומפאי
298,DevOps,2021-11-14,4,25000,יבמ
299,Linux,2021-11-14,0,10000,סודהסטרים
300,DevOps,2021-11-14,1,12000,אינטל
301,Python Programmer,2021-11-14,3,25000,ואליו איי. סי.
302,Web Programmer,2021-11-14,8,24000,מטריקס
303,Team Leader,2021-11-14,11,12000,דש. מיטב
304,DevOps,2021-11-14,5,30000,קלון די אמ
305,Software Engineer,2021-11-14,0,19000,אווירית תעשייה
306,Web Programmer,2021-11-14,6,18000,נס
307,Software Engineer,2021-11-14,0,12000,אנבידיה
308,Python Programmer,2021-11-14,0,7200,הביטחון משרד
309,Software Engineer,2021-11-14,4,27000,מטיריאלס אפלייד
310,.NET,2021-11-14,1,10000,לאומי ביטוח
311,Software Engineer,2021-11-11,4,24000,אינטנגו
312,PHP,2021-11-11,0,8000,סמארטי
313,Cyber Security,2021-11-11,4,6000,מטריקס
314,C# Programmer,2021-11-11,4,7500,פלייסייט
315,Software Engineer,2021-11-11,2,6500,ורפיקיישן ריצ'יפ
316,DevOps,2021-11-10,8,31200,גוגל
317,Team Leader,2021-11-10,11,12000,מגדל
318,Team Leader,2021-11-10,7,8500,די.אייץ.אל
319,Java Programmer,2021-11-10,0,17000,ליבריס אקס
320,Software Engineer,2021-11-10,11,27000,אינדיגו HP
321,DevOps,2021-11-10,1,10000,מטריקס
322,Java Programmer,2021-11-10,3,25000,מובייל דודא
323,.NET,2021-11-07,5,10000,פנמסופט
324,C# Programmer,2021-11-07,0,14000,בי.אם.סי
325,Web Programmer,2021-11-07,0,18000,Wix
326,Cyber Security,2021-11-07,0,12000,מטריקס
327,Cyber Security,2021-11-07,6,18000,גרופ אינטליגו
328,Java Programmer,2021-11-07,0,6200,טריבייס
329,.NET,2021-11-05,5,12500,גלובל מטריקס
330,Database Administrator,2021-11-05,0,9000,dbMotion
331,DevOps,2021-11-05,1,27000,אלגוטק
332,Cyber Security,2021-11-05,0,17000,מערכות אלביט
333,Team Leader,2021-11-04,4,12000,סטרטסיס
334,Java Programmer,2021-11-04,11,22000,בוטומליין
335,Cyber Security,2021-11-04,0,6000,מערכות גב
336,Software Engineer,2021-11-04,2,25000,אנבידיה
337,Software Student,2021-11-04,0,8000,ג'נסיס
338,C# Programmer,2021-11-04,2,15000,פרוסיד
339,Cyber Security,2021-11-04,0,14000,סייברארק
340,DevOps,2021-11-04,1,13000,סנטינלוואן
341,Java Programmer,2021-11-04,0,8000,VMware
342,Software Student,2021-11-03,5,28000,אמזון
343,Mobile Programmer,2021-11-03,5,24500,אפליקאסטר
344,Software Engineer,2021-11-03,4,30000,אפספלייר
345,Software Student,2021-11-03,0,7000,מערכות אלביט
346,Web Programmer,2021-11-03,3,25000,זומינפו
347,.NET,2021-11-03,7,8500,טכנולוגיות סי אקס די
348,C# Programmer,2021-11-02,2,20000,מוטורולה
349,Web Programmer,2021-11-02,6,8300,גלובל מטריקס
350,Linux,2021-11-02,4,35000,אנבידיה
351,Software Engineer,2021-11-02,10,15000,קומטאץ
352,Team Leader,2021-11-02,4,40000,רדוור
353,Algorithms Developer,2021-11-02,1,10000,אינטגרציה סינרג'י
354,Software Student,2021-11-01,0,10000,האט רד
355,Mobile Programmer,2021-10-31,0,12000,סופט אנג'י
356,Cyber Security,2021-10-31,1,20000,מטריקס
357,Algorithms Developer,2021-10-31,3,30000,ראיה טכנולוגיות מובילאיי
358,Linux,2021-10-31,1,20000,טרקונומיקס
359,Java Programmer,2021-10-31,2,20000,אלספק
360,Algorithms Developer,2021-10-31,0,19000,אווירית תעשייה
361,Java Programmer,2021-10-31,11,30000,מיקרופוקוס
362,Team Leader,2021-10-31,3,9500,"צה""ל"
363,Software Engineer,2021-10-31,10,28000,אינטל
364,C Programmer,2021-10-31,0,14000,קייפ
365,Software Engineer,2021-10-31,8,21000,טכניון
366,Web Programmer,2021-10-31,3,17500,לינק בי.איי
367,Software Engineer,2021-10-31,10,24000,וריפון
368,Algorithms Developer,2021-10-28,7,28000,מאך סטארהום
369,C Programmer,2021-10-28,10,30000,מערכות אלביט
370,Cyber Security,2021-10-28,5,21000,ישראל אבנט
371,.NET,2021-10-28,5,15000,ישראל אורט
372,Cyber Security,2021-10-28,3,11000,פרטנר
373,C# Programmer,2021-10-27,4,26000,ווטרפול
374,.NET,2021-10-27,0,6000,אימג'סטור
375,Software Engineer,2021-10-27,0,15000,ישקר
376,Web Programmer,2021-10-27,0,10000,קמביום
377,DevOps,2021-10-27,0,10000,"צה""ל"
378,Mobile Programmer,2021-10-27,4,10000,מובייל אפגייט
379,C# Programmer,2021-10-26,2,16000,אמדוקס
380,Software Engineer,2021-10-26,8,24000,שחם אלטשולר
381,Python Programmer,2021-10-26,11,30000,מטיריאלס אפלייד
382,.NET,2021-10-26,4,16000,bci
383,DevOps,2021-10-26,6,25000,צ'קמרקס
384,Cyber Security,2021-10-26,5,10000,אינטל
385,Mobile Programmer,2021-10-25,1,5000,IBMC
386,Database Administrator,2021-10-25,7,35000,אורקה
387,Java Programmer,2021-10-25,2,15000,קנשו
388,Cyber Security,2021-10-25,3,19000,דיסקונט בנק
389,Software Engineer,2021-10-25,1,17000,אמדוקס
390,Software Engineer,2021-10-25,3,25000,אדג' סולאר
391,Software Engineer,2021-10-25,4,23000,ורינט
392,.NET,2021-10-25,0,6000,מערכות אלעד
393,Java Programmer,2021-10-25,3,17000,ECI
394,Software Engineer,2021-10-25,11,33000,אוטודסק
395,C Programmer,2021-10-25,0,20000,צ'קפוינט
396,C# Programmer,2021-10-25,5,24000,אווירית תעשייה
397,Linux,2021-10-25,3,14000,איי אס אר
398,DevOps,2021-10-25,3,8000,"צה""ל"
399,DevOps,2021-10-25,1,16000,צ'קפוינט
400,Algorithms Developer,2021-10-25,11,20000,אי.ג'י סופטוור
401,DevOps,2021-10-25,5,36000,מטריקס
402,C Programmer,2021-10-25,6,25000,אינדיגו HP
403,Software Engineer,2021-10-25,2,15000,איינמאנג'
404,Sysadmin Windows,2021-10-25,5,17500,הוט
405,Database Administrator,2021-10-25,2,1871,"צה""ל"
406,Web Programmer,2021-10-25,1,16000,אינפינידט
407,C# Programmer,2021-10-25,0,13000,מערכות זיו
408,DevOps,2021-10-21,0,18300,מחשבים תקשורת בינת
409,Linux,2021-10-21,4,24000,צ'קפוינט
410,DevOps,2021-10-21,1,20000,מחשבים תקשורת בינת
411,Database Administrator,2021-10-21,4,22222,HPE מרקורי
412,C# Programmer,2021-10-21,0,5300,מלם-תים
413,Web Programmer,2021-10-21,0,13000,הירולו
414,Java Programmer,2021-10-20,4,19000,אלפיזור
415,Software Engineer,2021-10-20,4,27000,סורס וויט
416,.NET,2021-10-20,5,15000,קומקס
417,Database Administrator,2021-10-20,10,22000,סלקום
418,Java Programmer,2021-10-20,0,17000,קנשו
419,C Programmer,2021-10-20,0,5000,גלובל מטריקס
420,C Programmer,2021-10-20,1,21000,צ'קפוינט
421,Java Programmer,2021-10-20,4,16000,בי.אם.סי
422,Web Programmer,2021-10-20,1,11000,פרטנר
423,Web Programmer,2021-10-20,2,9000,איצ טי אר גי
424,Team Leader,2021-10-20,10,31000,רפאל
425,Team Leader,2021-10-20,2,9700,"צה""ל"
426,Sysadmin Windows,2021-10-20,2,8000,בירושלים העברית האוניברסיטה
427,Cyber Security,2021-10-20,3,21400,מלם-תים
428,Software Engineer,2021-10-18,0,12000,סופט אנג'י
429,.NET,2021-10-18,11,17000,רד
430,Web Programmer,2021-10-18,0,12000,עדיקה
431,Python Programmer,2021-10-18,1,16500,גוגל
432,C# Programmer,2021-10-18,7,28000,אווירית תעשייה
433,Web Programmer,2021-10-18,4,32000,Wix
434,Algorithms Developer,2021-10-17,10,30000,Trustwave
435,.NET,2021-10-17,2,16000,טכנולוגיות אוורסט
436,Algorithms Developer,2021-10-17,11,35000,סיווה
437,Software Student,2021-10-17,0,7200,אינטל
438,Linux,2021-10-17,0,18000,צ'קפוינט
439,Software Student,2021-10-17,0,5000,מערכות אלתא
440,Mobile Programmer,2021-10-17,3,28000,סייולו
441,C# Programmer,2021-10-17,0,4000,איירוקס
442,Mobile Programmer,2021-10-17,0,23400,אדג' סולאר
443,C# Programmer,2021-10-17,2,15000,אופקים קבוצת
444,Software Student,2021-10-17,0,6000,מחשבים אמן
445,Software Engineer,2021-10-17,3,24000,איביי
446,Software Engineer,2021-10-17,0,20000,סייברארק
447,DevOps,2021-10-14,1,25000,אמדוקס
448,Mobile Programmer,2021-10-14,4,34000,סייולו
449,Python Programmer,2021-10-14,0,20000,צ'קפוינט
450,Algorithms Developer,2021-10-14,10,31000,אף קיי אס
451,Java Programmer,2021-10-14,1,13000,Wix
452,Team Leader,2021-10-14,11,45000,טי. אנד איי.טי.
453,Web Programmer,2021-10-14,0,6000,לינק בי.איי
454,Team Leader,2021-10-14,6,37000,סייבר ארגוס
455,Algorithms Developer,2021-10-14,1,26000,שאטרפלאי
456,Web Programmer,2021-10-14,6,25000,Lnet
457,Software Engineer,2021-10-13,8,27000,ורינט
458,Java Programmer,2021-10-13,10,30000,מאך סטארהום
459,.NET,2021-10-13,10,28000,"בע""מ ומערכות תוכנה יעל"
460,C# Programmer,2021-10-13,0,9000,סלע
461,Java Programmer,2021-10-13,11,33000,קונטגארד
462,Software Student,2021-10-13,0,4000,מערכות אלביט
463,C# Programmer,2021-10-13,1,25000,פלייטיקה
464,Software Engineer,2021-10-13,0,11500,אנרטק
465,Mobile Programmer,2021-10-13,3,10000,אמדוקס
466,Web Programmer,2021-10-11,0,9000,קום עזריאלי
467,Java Programmer,2021-10-11,2,25000,בי.אם.סי
468,Database Administrator,2021-10-11,0,10000,מיין דטה
469,C# Programmer,2021-10-11,0,13000,צ'קפוינט
470,Software Engineer,2021-10-11,7,39800,מיקרוסופט
471,Java Programmer,2021-10-11,0,5400,איירוקס
472,Algorithms Developer,2021-10-11,5,16000,סאפיאנס
473,Sysadmin Windows,2021-10-11,1,9000,מ.ג.ע.ר
474,C Programmer,2021-10-11,3,7500,ופיננסים פנסיה ביטוח קשר
475,Java Programmer,2021-10-10,6,21000,אמדוקס
476,Team Leader,2021-10-10,5,12000,"צה""ל"
477,Database Administrator,2021-10-10,11,25000,אמדוקס
478,Web Programmer,2021-10-10,0,10000,קונימבו
479,Python Programmer,2021-10-10,3,26000,אנבידיה
480,Software Engineer,2021-10-10,2,32000,מיקרוסופט
481,Software Engineer,2021-10-10,11,60000,אמזון
482,DevOps,2021-10-10,2,23000,מיקרוסופט
483,Cyber Security,2021-10-10,5,30000,קארד לאומי
484,Web Programmer,2021-10-10,8,18500,הבריאות משרד
485,Team Leader,2021-10-10,5,28000,מערכות אלביט
486,Python Programmer,2021-10-10,4,25000,קמינריו
487,Software Engineer,2021-10-10,0,19000,סינמידיה
488,Software Engineer,2021-10-10,10,52000,אמזון
